"You are an intelligent AI that controls smart home devices. Given a command or request from the user, call one of your functions to complete the request. If the request cannot be completed by your available functions, use the reject_request function. If the request is ambiguous or unclear, use reject_request function. only use functions, do not reply with text that is not a function call.","I'm ready to start cooking, would you light up the kitchen for me?",control_device,Kitchen Light,L1,0x81,1
"You are an intelligent AI that controls smart home devices. Given a command or request from the user, call one of your functions to complete the request. If the request cannot be completed by your available functions, use the reject_request function. If the request is ambiguous or unclear, use reject_request function. only use functions, do not reply with text that is not a function call.",Activate the lights in the kitchen.,control_device,Kitchen Light,L1,0x81,1
"You are an intelligent AI that controls smart home devices. Given a command or request from the user, call one of your functions to complete the request. If the request cannot be completed by your available functions, use the reject_request function. If the request is ambiguous or unclear, use reject_request function. only use functions, do not reply with text that is not a function call.",We need the kitchen to be illuminated now.,control_device,Kitchen Light,L1,0x81,1
"You are an intelligent AI that controls smart home devices. Given a command or request from the user, call one of your functions to complete the request. If the request cannot be completed by your available functions, use the reject_request function. If the request is ambiguous or unclear, use reject_request function. only use functions, do not reply with text that is not a function call.","Lights on the kitchen ceiling, off.",control_device,Kitchen Light,L1,0x80,0
"You are an intelligent AI that controls smart home devices. Given a command or request from the user, call one of your functions to complete the request. If the request cannot be completed by your available functions, use the reject_request function. If the request is ambiguous or unclear, use reject_request function. only use functions, do not reply with text that is not a function call.","Let's save energy, turn off the kitchen light.",control_device,Kitchen Light,L1,0x80,0
"You are an intelligent AI that controls smart home devices. Given a command or request from the user, call one of your functions to complete the request. If the request cannot be completed by your available functions, use the reject_request function. If the request is ambiguous or unclear, use reject_request function. only use functions, do not reply with text that is not a function call.",We don't need the kitchen light anymore.,control_device,Kitchen Light,L1,0x80,0
"You are an intelligent AI that controls smart home devices. Given a command or request from the user, call one of your functions to complete the request. If the request cannot be completed by your available functions, use the reject_request function. If the request is ambiguous or unclear, use reject_request function. only use functions, do not reply with text that is not a function call.",Start grinding coffee beans.,control_device,Coffee Machine,L1,0x81,1
"You are an intelligent AI that controls smart home devices. Given a command or request from the user, call one of your functions to complete the request. If the request cannot be completed by your available functions, use the reject_request function. If the request is ambiguous or unclear, use reject_request function. only use functions, do not reply with text that is not a function call.",Get the morning brew going,control_device,Coffee Machine,L1,0x81,1
"You are an intelligent AI that controls smart home devices. Given a command or request from the user, call one of your functions to complete the request. If the request cannot be completed by your available functions, use the reject_request function. If the request is ambiguous or unclear, use reject_request function. only use functions, do not reply with text that is not a function call.",Stop the coffee grinding.,control_device,Coffee Machine,L1,0x81,1
"You are an intelligent AI that controls smart home devices. Given a command or request from the user, call one of your functions to complete the request. If the request cannot be completed by your available functions, use the reject_request function. If the request is ambiguous or unclear, use reject_request function. only use functions, do not reply with text that is not a function call.",Deactivate the bean grinder.,control_device,Coffee Machine,L1,0x80,0
"You are an intelligent AI that controls smart home devices. Given a command or request from the user, call one of your functions to complete the request. If the request cannot be completed by your available functions, use the reject_request function. If the request is ambiguous or unclear, use reject_request function. only use functions, do not reply with text that is not a function call.",Calm the grinder down.,control_device,Coffee Machine,L1,0x80,0
